stream,site,release_id,date_released,time_released,site_released,subsite_released,number_released,median_fork_length_released,origin_released,run_released,lifestage_released,source_released,days_held_post_mark,flow_at_release,temperature_at_release,turbidity_at_release,include,week_released,year_released,night_release
feather river,upper feather lfc,547,2014-03-07,12:00:00,upper feather lfc,next to gateway release boxes,201,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,548,2014-03-07,21:00:00,upper feather lfc,gateway release boxes,242,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,TRUE
feather river,upper feather lfc,549,2014-03-13,12:00:00,upper feather lfc,next to gateway release boxes,459,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,550,2014-03-14,21:00:00,upper feather lfc,gateway release boxes,231,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,TRUE
feather river,upper feather lfc,551,2014-03-14,12:00:00,upper feather lfc,next to gateway release boxes,235,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,552,2014-03-20,10:05:00,upper feather lfc,next to gateway release boxes,488,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,553,2014-03-21,12:00:00,upper feather lfc,next to gateway release boxes,181,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,554,2014-03-25,12:00:00,upper feather lfc,next to gateway release boxes,63,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,no,NA,NA,FALSE
feather river,upper feather lfc,555,2013-02-15,11:15:00,upper feather lfc,next to gateway release boxes,249,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,no,NA,NA,FALSE
feather river,upper feather hfc,556,2013-04-09,15:15:00,upper feather hfc,next to herringer release boxes,28,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,no,NA,NA,FALSE
feather river,upper feather lfc,558,2011-03-15,12:00:00,upper feather lfc,not recorded,215,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,no,NA,NA,FALSE
feather river,upper feather lfc,559,2011-04-07,12:00:00,upper feather lfc,not recorded,419,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,560,2011-04-20,13:30:00,upper feather lfc,not recorded,147,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,no,NA,NA,FALSE
feather river,upper feather hfc,561,2011-01-06,12:45:00,upper feather hfc,release_100m above falls,196,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,no,NA,NA,FALSE
feather river,upper feather lfc,562,2005-02-09,11:30:00,upper feather lfc,steep pool left rm 60.9,998,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,563,2005-02-17,12:00:00,upper feather lfc,steep pool left rm 60.9,989,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,564,2005-02-24,11:00:00,upper feather lfc,robinson main rm 61.6,985,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,565,2005-03-08,12:00:00,upper feather lfc,steep pool right rm 60.9,969,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,566,2005-03-16,12:00:00,upper feather lfc,steep pool right rm 60.9,799,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,567,2005-02-09,11:40:00,upper feather lfc,eye pool right rm60.5,996,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,no,NA,NA,FALSE
feather river,upper feather lfc,568,2005-02-09,11:40:00,upper feather lfc,eye pool left rm 60.5,1075,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,no,NA,NA,FALSE
